country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,year
Cambodia,50.14113090633037,51.21286158678651,5.0954748372508245,56.232361652832324,2702.4890876706727,3.3687816408971454,61.73077157506477,2.8527979646463635,743.3804210650363,2005
Cambodia,49.69988651341752,51.80103875826944,5.261270102500942,56.23160712886677,2791.864612357144,3.311460555526702,62.9601533131798,2.7536291198184597,752.6154347583271,2006
Cambodia,51.566176227048096,53.71685312485967,5.20290892790101,56.43431732340655,2666.774603371475,3.2505786882057706,63.86277918126109,2.656865904505663,722.1785946099201,2007
Cambodia,51.89262744474555,53.759210444977406,5.3245737625131415,57.627158525457496,2755.3517294957105,3.29896314561009,66.35841236390242,2.6322985704812174,704.6472534720185,2008
Cambodia,49.329135441498465,52.397128835116476,5.099343201838621,59.63377115617806,2827.9044317828143,3.223614622941903,69.29284026768747,2.705554624646622,700.4988092769823,2009
Cambodia,49.34680587294409,50.81689229044795,5.134448211810214,58.44726114932341,2794.5351338944724,3.1915925614073553,69.71142905584574,2.741191207620814,731.0094987261105,2010
Cambodia,47.723435185090985,50.18146716215056,5.08281104154414,55.681515607031926,2888.298056644719,3.0858899711304604,71.1096639223684,2.7294189331324477,710.1123911210298,2011
Cambodia,49.3410191629073,49.20374941092325,5.298750714206851,57.66847058730689,2927.7022598767576,3.08101606459952,67.78295270995415,2.7806012078321034,715.4475741282298,2012
Cambodia,49.54193047973591,48.27925042022737,5.217470346950066,57.15944024649173,2961.8233324534194,3.2283171733233935,66.45184214560189,2.7682924939738562,736.7201423048289,2013
Cambodia,50.74953326491712,48.58689134891244,5.354076049232848,59.72600148727279,3040.475505057301,3.2224570987603913,63.317625452858664,2.7579994250089594,749.0208405040707,2014
Cambodia,52.09700559297196,48.190044457966835,5.497881137644617,60.339272337732204,3066.3250776211007,3.2424381963590942,60.27440916424092,2.717952047376022,716.6736825874857,2015
Cambodia,51.69741567469621,48.801136383784716,5.600973246477656,58.26375603766733,3057.0083208356455,3.35651421920293,62.19607789903483,2.6220822952990686,747.4172934960967,2016
Cambodia,50.43102759469432,47.30851000003079,5.852614702265989,58.551102977878905,3207.3438389852645,3.2478676566116347,65.30115377920974,2.6715304163330225,728.0384795153724,2017
Cambodia,50.58300605203315,45.37776400780638,5.599671962591533,56.795042390868616,3129.6990295833443,3.3699022772294747,67.28274950550426,2.571070388741166,743.7665519917382,2018
Cambodia,50.910081324172296,46.50571109874236,5.4471297769188585,59.122222608106284,3003.0626052846874,3.3446591441275846,69.27597830956105,2.687753022925421,778.809831147109,2019
Cambodia,52.833825133758126,46.10824236116343,5.39952673435333,59.701740274902974,3005.566995355471,3.280960081933225,72.68210534218392,2.7773354338049665,800.6674278978622,2020
Cambodia,53.56808192918463,46.73741438625737,5.196008287284676,58.64753683556776,2859.852972993951,3.1462379405470196,73.68224951955277,2.896252692584632,821.7511558861918,2021
Cambodia,55.24839154472216,46.98763441782056,5.351450542746478,61.50815218712846,2818.228982206819,3.0346613269676923,76.70494894163386,2.854617366816033,856.6874093218636,2022
Cambodia,56.17478999716821,48.12917006250093,5.30356051662263,59.87050912986987,2956.0105227951526,3.101426802625622,76.84437838037424,2.7510290042575782,886.4903856065706,2023
Cameroon,104.56645083310828,21.116252004949942,5.174784003478546,27.972574195850733,2695.1205345678004,1.9992690279175132,59.40569717249364,5.16977104354026,1308.5574118587674,2001
Cameroon,107.19264797217522,21.568897845338615,5.05640919844912,28.20327262823249,2662.7582989208045,1.9766514859101296,61.364573903801286,4.91288207384072,1280.6310805179457,2002
Cameroon,104.12004941424551,22.345717483316584,4.967929794001007,27.734252320183202,2583.2684474397524,2.0460625187706305,60.9485065542977,4.713954891257474,1332.5553049952973,2003
Cameroon,101.98462301943752,22.597908089002384,5.056508739602458,28.50191835122798,2544.3064905778974,2.1463329281658687,63.71334428190629,4.790571108312338,1322.1567137967152,2004
Cameroon,101.29315751757403,22.26172316164493,5.248142354482631,27.14981779427168,2607.646662888674,2.0617119925095464,63.76572680077452,5.006799953457199,1333.318952393046,2005
Cameroon,101.19336874603384,22.61554865690131,5.082801050473546,27.851066057233126,2491.521148452092,2.1141805645711162,62.98637589828129,5.202360994202242,1273.3709581768028,2006
Cameroon,98.51048141605506,23.608004771213068,5.0204513875478955,27.866682106399598,2367.113146330276,2.0928053554316772,65.44516247871486,5.012394168309482,1282.134071442097,2007
Cameroon,100.54587920779167,22.97865572929215,4.857603654655769,26.60977057765175,2289.746343143695,2.184247255178787,67.46030894778106,5.249927020640841,1234.9631006135469,2008
Cameroon,98.44648383857806,23.09014342570131,5.059446999920349,27.225668777601626,2351.8884225464376,2.2909281706225686,69.4379016039551,5.40800207794664,1220.3838507066266,2009
Cameroon,94.01646953260828,22.93064794664727,5.040103880008276,28.101694721158182,2430.5177445782133,2.3506929233923937,70.8118692784547,5.35671737226657,1229.0952451337641,2010
Cameroon,91.10045382149694,23.077987266259935,5.290066259714682,28.457251895084887,2344.4309348023253,2.363939999585469,68.0912721630427,5.095147821021752,1177.603588480378,2011
Cameroon,90.40412906281213,23.393818589606553,5.249005100941231,29.00163920500359,2382.465938558065,2.3506261582425854,67.91378664363718,5.125264058692426,1224.6815231980454,2012
Cameroon,90.06233579975557,24.140149971038944,5.116332546040624,28.5896060541362,2465.05767924914,2.4288292629399395,71.03957419554122,5.13624849044443,1266.7441067171314,2013
Cameroon,87.165379105982,23.58634564698954,5.100205330284571,29.660264399577446,2358.507220262218,2.4976105084359435,74.00940585103568,4.986889655299442,1256.878507411405,2014
Cameroon,87.81111289874367,22.527581285784724,5.042332077843684,28.804765193047214,2264.1615280594206,2.564256523319018,70.51435779687931,5.133447650919935,1284.9549009530524,2015
Cameroon,84.66449295716282,23.201304767980254,5.074076010073316,27.52156463939446,2166.6478975648793,2.617457892777472,71.08777757415359,4.936618561556472,1222.493548253191,2016
Cameroon,82.9955529633876,24.08891471128621,5.108610808412097,26.764416121426052,2164.713891873688,2.4951977900800775,68.10586266976205,4.811563991275803,1208.1759440752185,2017
Cameroon,85.83160871704253,24.788093312438804,5.103475424789783,25.74395928265799,2266.892297855322,2.411403465689186,64.98702663106418,4.817111416292087,1211.006733555532,2018
Cameroon,85.63619450350285,24.73975713708802,5.058719429999442,24.747901695577124,2354.4998601825364,2.4903522570730936,67.70954176931112,4.866670881226017,1240.2146443051076,2019
Cameroon,83.1140035323255,24.52488140355132,5.026807863232844,25.770598490051988,2334.619734648567,2.5994453181921515,68.36308744488815,4.633612948433829,1289.2951191640818,2020
Cameroon,87.21850965756897,25.307244090906423,5.148712758150242,25.3623630869997,2421.1571306664964,2.5992470723330543,65.31670575028254,4.63597817755679,1314.178541149426,2021
Cameroon,83.04256936791187,26.05988102773504,5.344086367188685,25.70687661698836,2432.41295617768,2.5666944897681057,63.22920872914647,4.678391471199063,1369.646543802068,2022
Cameroon,84.26766729282816,26.225469801119548,5.471139528140667,25.940281377118335,2434.2424270355627,2.5687080720439095,62.92051350307597,4.476191143279132,1332.6621061940732,2023
Canada,5.394626099148058,29.33239664637222,11.162847697928987,30.912672608987336,40330.788534811036,2.880349948376988,82.52941816856719,1.5690492237495346,47197.58815832025,2001
Canada,5.6055652427392575,29.950922659345874,11.432578207472718,31.150905304621975,40652.55951526523,2.857913635985348,80.65804501983064,1.5706596465554454,48493.58989204829,2002
Canada,5.518592663004504,30.533978233588186,10.912344101963242,30.24111532772763,38671.409595879595,2.890765328139481,77.6517640448082,1.5905825971088536,48431.35850895445,2003
Canada,5.521989922413281,30.511479298896944,10.798976225806669,30.327157954962928,39005.768796066,2.9004453088386155,79.22397101410793,1.5172151276695967,50286.60539800083,2004
Canada,5.2725567562244136,29.548746180728255,10.66785222781754,31.29701880288658,37287.279479727425,2.9772598880151326,76.48991985054874,1.5560902831226733,48020.73304718613,2005
Canada,5.174129250359376,29.848193334776205,10.677457485509176,30.72395941238788,38648.7340282755,2.833950882850449,76.59136460483006,1.533494851508041,49028.2545717473,2006
Canada,5.179114673061458,28.655799362525354,10.477190817000258,30.126200393363234,38036.7418892466,2.7761360130014223,77.26662494111008,1.5310147686881133,48523.96894608073,2007
Canada,5.184329942573988,27.69057902119447,10.803883017443987,31.165301091682405,36816.16606324171,2.737239461458933,74.48375420673295,1.5967687965432273,50628.394152956964,2008
Canada,5.109936566828295,26.9224317086312,10.551368930723866,32.44707290996983,35271.88063611121,2.836012448473582,71.49836939025813,1.5171715147600195,52614.99851394363,2009
Canada,5.05387891028089,25.628629483613423,10.668042993284443,31.33017416770934,35279.079844582935,2.718944101660978,73.50770083945766,1.473780360911223,51144.01800961225,2010
Canada,4.927746837381369,26.77176315523592,10.511035448954223,29.85818210893179,36200.159059600235,2.818827080550437,76.38776920637703,1.4478252026736727,52872.352679216565,2011
Canada,5.118947017446555,28.056404552848733,10.32595920928409,29.35030898332363,35014.89062457518,2.684613144011685,75.50091591870049,1.429615797522115,55090.264690628224,2012
Canada,5.323785587227845,28.994067254505165,10.070120401485596,29.787487318703903,36702.91983204221,2.804430190112014,74.48836543085417,1.4422578363560854,53723.54755454118,2013
Canada,5.575794091760073,30.344550472535524,9.92469396591832,30.452519933012773,36918.392325884284,2.677475983448055,72.75653180130054,1.4859552867391495,53647.34909110988,2014
Canada,5.433985498156172,30.397030039553215,10.026156551344418,30.211862883158794,37820.39882687632,2.7211203750442787,71.16916984766009,1.489535242259961,52081.86387320559,2015
Canada,5.357137668161002,29.727245805470535,9.777227217271113,31.34347579673421,36721.65472039831,2.6715315514807947,69.13280254257438,1.4896157491648456,49692.20691354423,2016
Canada,5.466209357816442,30.48763129565191,9.568559069260505,32.39804212357522,35294.45415015786,2.7140706491342894,70.57301141702115,1.5394567564108916,49910.364823851916,2017
Canada,5.673730674813557,30.16401487951743,9.453105391390798,31.059515920934707,36043.24470332156,2.5889928026524243,68.44091350051607,1.5162010030272586,50163.69551778941,2018
Canada,5.530281518282964,29.723306618747085,9.130524716289178,30.996033721529866,34413.98671448729,2.6792767554223715,69.08339348133474,1.4762737748949726,52238.23323928781,2019
Canada,5.398638268127168,31.049873683615456,8.698535644724178,31.765026904278283,33757.81243131157,2.8109269376206227,71.11993641393434,1.4602131660480215,52765.66171196445,2020
Canada,5.301436477953305,32.31721749846267,9.029882773823838,30.512601643533948,33970.91654918472,2.7371264133869575,70.27068497533638,1.4957275972562638,50512.752282673035,2021
Canada,5.360476707846723,32.37909967596679,9.271455549563806,31.57412843003124,34641.27905584363,2.809484773122823,67.0779086329735,1.4321900553761426,52669.122912213206,2022
Canada,5.433943215893648,31.62454719820564,8.832759248137835,32.25467808899109,35153.19189349738,2.795048528779544,69.36652933952737,1.407637026218063,51424.87718802248,2023
Cape Verde,25.533844804494446,32.69404794384809,3.9908899876786488,63.9135354753319,5950.092546260346,0.5113371610166364,73.61194068502738,2.539110438645628,3406.421454842662,2001
Cape Verde,25.042864843092765,31.49454275710941,3.937253781550459,63.22047901860485,5745.832229598472,0.5204034199789774,74.51302368687777,2.5334247548381383,3329.8251409454197,2002
Cape Verde,24.92536103071946,29.94955635012958,4.0261700334853945,60.35982097133976,5534.532646059907,0.527204849039432,71.70711566168552,2.454108115868644,3418.716911694724,2003
Cape Verde,24.701281258422185,31.336582012206616,3.8932832650177716,63.1211988003571,5740.902090741202,0.5171772038558841,71.00744254271721,2.4222162839958443,3363.8545048198694,2004
Cape Verde,24.54783506506007,31.74969487681798,3.9402146735176697,59.97993105812218,5745.342221604464,0.5102681351091432,70.48970181264065,2.393079842356378,3491.2098740065026,2005
Cape Verde,24.868381143187584,32.0061503696285,3.763326499687092,61.300049932435556,5739.71235535348,0.5318524705539693,73.15199221668507,2.3481917054468355,3459.7973986347047,2006
Cape Verde,24.778545241762206,30.819272368622485,3.814774031142335,58.44011804569568,5661.056950820013,0.53144646269888,69.51959358872905,2.412205064735297,3602.267268482863,2007
Cape Verde,24.64189071999309,30.98052461589723,3.8829923977279144,61.100272592621906,5535.837372972358,0.5313738340251172,68.55820104833354,2.2966574210211372,3447.922514441625,2008
Cape Verde,23.71596090115157,31.008625630069105,3.7627436558500826,61.74885414623875,5396.335299398148,0.5186168817345376,68.30637319906337,2.2728317721729394,3491.2165153709147,2009
Cape Verde,23.960052470009227,31.853022335524383,3.927697371723501,62.69989516889101,5474.679806748004,0.5081362411904304,67.06503406803166,2.3288722134170747,3649.2558960273927,2010
Cape Verde,24.121344011638424,32.46622111479137,3.830276005928666,65.55470590449966,5667.766995023565,0.4896416909011629,69.73994840626344,2.2532395745462885,3626.892994421535,2011
Cape Verde,23.451629013226317,33.28604452132378,3.9724041587879864,63.16875129266458,5907.683897812452,0.4766808388534208,71.72311758965682,2.2980408624096387,3543.446222242264,2012
Cape Verde,23.06800100941583,31.96157592117621,4.152167896647907,63.871473666179455,6078.599878894651,0.47450095827742406,70.83962130023507,2.316242622515006,3524.143428709741,2013
Cape Verde,23.539555281345123,31.592165886122327,4.183490094575755,65.49968699544382,6009.454507525173,0.45280741050635825,70.58662307873409,2.34671955045596,3370.389014550749,2014
Cape Verde,22.999382452177436,32.913707455004285,4.003923262176517,63.1575578368372,5987.679716299731,0.46631055900471197,69.14025453221456,2.3229087877609436,3488.453054556259,2015
Cape Verde,23.62645302053032,31.69692176135472,3.9857453655331234,62.30263432795792,6088.155089972921,0.4527515703111037,66.81720310276476,2.2458609765249546,3578.5517689038866,2016
Cape Verde,23.820891721292842,33.04879241996052,3.957787690256448,62.61993392890803,5860.512155024887,0.4717701722925301,63.688258716429644,2.177532396014139,3681.583536924939,2017
Cape Verde,23.65609349193241,31.53210600542065,4.020993219656226,64.83063106516568,5757.975361491118,0.4819526768197,65.54655977139123,2.1972133448663924,3701.3255889425845,2018
Cape Verde,24.606071873290187,30.45704963940719,4.079617294873993,66.77070948949616,5876.901050695523,0.495964005564722,66.49311269844998,2.1159042952700475,3829.6495899299516,2019
Cape Verde,24.529086808052213,31.51780377612173,4.095298312136171,65.75983430662792,5837.454402511932,0.4853911878837394,63.22766296881584,2.0778824244735654,3943.176694567778,2020
Cape Verde,23.85210190271069,30.16266623173973,4.21965515934229,65.40217773899171,5912.372759851348,0.4615696738508723,63.511730149816,2.1477877013132813,3998.1138005148996,2021
Cape Verde,23.133257630762763,31.2181780176947,4.026293808120977,64.02543146428658,5879.309154943155,0.43917784756648287,61.24631996949647,2.1387786775048006,3799.931900596635,2022
Cape Verde,23.440537290185983,30.685653357628834,3.9857805872623957,63.06012688248747,6034.513022679544,0.4234937845428322,59.201622668365005,2.0916983093777097,3707.931864467613,2023
Central African Republic,153.47250703243793,12.284682637160332,3.939578824210771,27.431196281790726,893.9653841647565,2.0739794070579647,46.93109053925153,5.069844244634483,463.3306728344231,2001
Central African Republic,148.72393854107895,12.547093692365813,3.808243249262114,26.128541041336447,883.790995731021,2.097230071032097,46.816122589154574,4.884706476895872,453.6055635893926,2002
Central African Republic,143.73003344211315,12.475012753098564,3.9193459330444735,27.28520143914936,912.5234483207344,2.012939364258373,46.413463692378905,5.0698439927765815,456.5271837401822,2003
Central African Republic,144.2041890895925,11.893947916323244,3.9514438639233345,26.24905359308514,924.7714463271055,1.9681959543991574,47.37953556009355,4.821342008804993,456.51009506339716,2004
Central African Republic,144.80207889358041,12.357692081492903,3.8561976578758226,27.36109911937997,952.0530237377351,1.916121450267463,45.13554544199482,4.866476761543226,441.94890531159115,2005
Central African Republic,145.79077678387253,12.260165954881781,3.6949545917682096,28.02796163854957,922.4082543194161,2.000685193231805,43.45254549088849,5.00438694504398,462.63849340804126,2006
Central African Republic,138.9260913286667,11.888500330781135,3.7768097077922516,29.214136721408405,877.0507025366225,1.9392989402532708,44.02521439683619,4.860045436589527,473.9164124448127,2007
Central African Republic,138.88524265922013,11.54956250850668,3.659847080448686,29.216804538688,914.5662932610057,1.8701208788408745,45.230767619849594,5.036793606495964,485.5322877464881,2008
Central African Republic,143.36761447020598,11.302559148173485,3.8343900927955255,30.57591660104244,930.4010908113341,1.7878523470922878,45.33165889134271,5.036038091493537,472.3459933732629,2009
Central African Republic,149.9918672230619,10.819340542818773,3.8622991932782504,30.166242767549864,956.034905177454,1.7231689550561529,45.34436146853319,5.254258675196807,448.8388606011135,2010
Central African Republic,142.6987462262642,11.008046245872304,3.937598840258396,29.616423316542722,937.393464433411,1.7095920059710932,47.28417870468183,5.09787319463797,467.4042607531819,2011
Central African Republic,136.3596953429243,10.998345585073864,3.7602276240800125,30.574363693564788,905.9392243681451,1.7366597564262705,47.135451702779115,5.005834009370832,463.54190378845897,2012
Central African Republic,139.15088417706752,10.668947791019527,3.885491448628743,29.462395749840532,939.8288281360816,1.7218144849419672,47.54740113291228,5.162703940237917,476.24589929613995,2013
Central African Republic,145.78090627984105,10.360569758672174,3.710694215195384,29.8568914321573,897.0796853364793,1.639506125604845,47.670618646902184,5.371247474623717,467.9257591185834,2014
Central African Republic,148.19007536526988,10.731868781726675,3.6375091262858166,29.512543055714755,877.8940023303243,1.6375288583886467,47.46221613037446,5.184364435462439,450.13735470406925,2015
Central African Republic,144.7340844598992,10.616998916199165,3.767457361656877,29.853976636171208,850.3722169651173,1.6756607255168128,45.87604127942407,5.220809098047659,434.5000040661344,2016
Central African Republic,151.5882487478189,10.249613414717437,3.7175264874920484,28.8365704190278,860.5871289367298,1.6187725181659487,44.45202982765325,5.052558543530632,420.1191757339373,2017
Central African Republic,157.70616104466083,9.954034525779214,3.708442041800052,28.178554029817168,871.7545665086353,1.6943660491608847,42.76554467908166,4.9358032134482634,427.12555787948787,2018
Central African Republic,149.9379073797014,9.874812778067286,3.865539102712979,29.52672940821909,862.1394854940343,1.6235421302663091,44.45814598558122,4.7911014192652335,422.8404079607618,2019
Central African Republic,150.6051863498851,10.197291182099516,4.051747759626266,30.864951675574165,836.2682280059729,1.631212995817306,44.853473134173704,4.737249731465518,419.7341621707518,2020
Central African Republic,156.34850968556108,10.312863174312422,4.0095585171317545,29.515122315539763,844.9528098101782,1.6688572957724386,44.32078865524118,4.631822772223401,423.94449947089277,2021
Central African Republic,157.49418313848827,9.8987354263222,3.8304290570594137,28.503916152947983,851.7993541620203,1.5999158218154732,44.457265831456134,4.676462602646875,433.30584640930624,2022
Central African Republic,153.00218299625413,10.189532775250786,3.8373062931113107,28.211875228578876,816.2223006726587,1.6497145738525005,44.56916360529743,4.476176983303456,443.28503163356305,2023
Chad,144.4974216378048,37.24411189850855,4.51663875120093,44.93237680825548,1919.4972738507004,6.401231059995736,58.43659293208031,6.879115079017799,906.4614464901779,2001
Chad,150.51604887640207,35.67160196333994,4.570271567564739,44.167702415691075,1998.0360009693595,6.643003412034725,58.762927437499684,6.801666238769737,905.849181586037,2002
Chad,151.46759780535706,34.79931122628802,4.613299035263092,43.88872661172698,1910.2060731034537,6.455419487623079,60.049703921475924,7.031082372713276,919.6966955992859,2003
Chad,157.53525657243028,35.40853624510959,4.410503614097903,44.37372059534626,1970.5770123272098,6.726714984397893,62.73462744695733,7.377686893495916,877.5026509930269,2004
Chad,160.25599412406748,34.97811110822386,4.544331365504706,46.37971012354194,1937.1356051624061,6.640403449485949,63.335828110104785,7.520708125721509,842.3332647537067,2005
Chad,163.21060748491922,34.04586516112392,4.502390455054398,44.98421638129664,1918.474997043748,6.325455526751894,63.08504187144656,7.638163320717778,860.1130218770816,2006
Chad,157.8711692768517,32.378985897107164,4.435458875517728,43.783149657182655,1920.559166828406,6.274356216064531,62.4407720348332,7.604057626984529,855.2470406151448,2007
Chad,150.04143070483858,32.39473787254038,4.234111111806411,44.668260907362296,1857.457822487633,5.995323850637535,65.47233070942846,7.793531140208422,877.2794736983088,2008
Chad,144.9185177128124,33.99172549997525,4.137721338022961,46.869854561979764,1911.1405816314168,6.256230435791913,63.200994117088236,8.05379959139661,896.2359108782616,2009
Chad,151.03044218020693,33.953454293923926,4.095865123368645,47.26452961446041,1969.485504067451,5.993903994985713,64.08645040539535,7.910443613301543,854.5529969831578,2010
Chad,150.54120598073646,34.256382524128846,4.080447051093229,48.14135593842318,2059.802206241149,6.133068960797469,64.07873652185356,8.081911617115964,825.3707165797005,2011
Chad,148.47268293979067,35.8358545564951,4.212524859973162,47.277649092682154,2128.90879759885,5.946549941874769,61.144879894899354,8.42401515634806,854.0090591999959,2012
Chad,154.7463332080136,36.74965898763093,4.178406652623723,48.51403894152457,2222.89589341656,5.842672723887764,62.510667471548636,8.140621750494557,817.267107709982,2013
Chad,151.6910508134684,35.80485425250073,4.1689937068254945,47.17621123930613,2276.515058906444,5.900643247445754,65.59924776609812,7.88465666765146,845.407162253053,2014
Chad,145.82210132659978,34.923166162949336,4.317470255851077,48.30338187180009,2258.5938868814824,5.73034520150629,64.65602628748815,7.498777882774488,823.8226369658776,2015
Chad,147.74990061929807,36.00681415508499,4.278663562632121,49.11228853772788,2265.213404573756,5.876506468045283,66.00787389806257,7.342806435710199,849.6297843170516,2016
Chad,142.12771254950994,36.07603173824132,4.2211752853194175,49.69238310225826,2234.2944456785935,5.987749310624751,67.89567754517135,7.6893877692878325,837.1093057673679,2017
Chad,138.56694358254975,35.69716508256597,4.010723533107604,50.79099474290062,2187.0960310761857,6.245289836895228,67.38873383532776,7.882527804277825,829.7221930093606,2018
Chad,144.28570225995358,35.72483666525309,4.085199127226687,50.67144965450035,2141.736948858422,5.967103579228934,67.51566956527864,8.121017361098774,808.9624273854789,2019
Chad,146.37105276079168,35.30348779991771,4.255824362088379,50.57253616116556,2050.974250974676,5.67284332351894,70.15522380503013,7.719528468426236,805.2743495214203,2020
Chad,146.10462735758446,35.333406749144864,4.390528808960113,51.81881376704178,2045.6098898375142,5.46708301246519,67.89084298731349,8.022363969924353,845.4418907094055,2021
Chad,148.75620303391221,34.24742054715444,4.484159125232305,51.373852652133586,2071.9029387369014,5.256929997767248,64.7331791188269,7.809644264599653,852.1298644423225,2022
Chad,144.88686431735798,35.123480058924684,4.3304949519918825,53.320416776609676,2149.2422549055914,5.361801500843084,67.53174432787257,7.69567236334675,854.7058130927808,2023
Chile,9.119498045066246,37.0777565650613,8.017737446258833,32.49334627022887,19286.904888603956,9.40682428797965,81.79636978593459,1.8710217481390905,13179.028691833477,2001
Chile,9.312136742162398,38.82355243013475,7.753644587917589,33.31654344234916,19328.243488430606,9.069517467129279,83.42705592272421,1.800861946193701,13378.246162325891,2002
Chile,9.517623000418872,40.386411103359706,8.07352668628179,33.89440692179816,19925.910122607478,9.224395142784743,81.04058354067384,1.7600007031605494,13114.527880455365,2003
Chile,9.105203918082521,39.40775542624218,7.7747522971098375,35.250872523616955,19839.459324625055,9.595949307324911,83.37744664874407,1.6988024235873802,12534.732680105606,2004
Chile,9.499890759836124,38.34610496111296,8.040085838772004,35.790877125234445,19840.84311846014,9.373956392807493,80.39381985735714,1.7199870146816894,12207.085750458826,2005
Chile,9.964528333245022,39.05078169267407,7.889582425314678,35.720950858126926,20335.859798378115,9.174252975450692,77.49503779790895,1.785908653806055,11754.126944410838,2006
Chile,9.678578759420688,38.03542697097319,8.224519284291272,34.49086237317789,20890.018489982434,9.614616001444691,76.39008148296334,1.768928869972911,11962.639752034554,2007
Chile,10.127251920726412,38.66600863954244,8.079769725040236,35.968072940744804,20801.84578299766,10.064923264193542,72.67759691114072,1.8504864354847697,11913.485667327308,2008
Chile,10.161544462920322,40.35162307638501,8.071463305653019,37.31117459669123,21759.16054924631,9.644202406735628,73.95559416070752,1.7712800580272752,12213.939504339427,2009
Chile,10.3670294681367,39.050052420584095,7.761254135470627,36.70619081997335,22701.264591591214,9.691042809252169,75.10130193862678,1.7251278318629844,12507.465147211567,2010
Chile,10.043636894848465,40.50822656956673,7.729831583970074,38.16674766449785,21989.04540935565,9.525632303868633,73.60382063793625,1.7842134199383826,12671.192962994399,2011
Chile,10.231411419474794,42.17491994447019,7.90315180666691,37.36136789831718,22379.253506975187,9.303563145610655,72.69501241350287,1.7591482577044317,12701.992459892135,2012
Chile,10.430240387665991,40.09436256652764,8.279206948340455,38.379019842558485,21485.089450461266,9.65382432072358,76.08914887196084,1.817559388550334,12092.735204218456,2013
Chile,10.85521138422941,42.00354431801193,8.021913367493653,37.88331019718701,22080.449013996356,9.934294953914787,74.21215028056322,1.761833432811479,12126.02349891135,2014
Chile,10.510837936954728,41.56360256091324,7.635994150047504,37.214814866251544,22672.173272160915,9.73098265501899,71.1088330363373,1.7381485100489233,12129.500139321357,2015
Chile,10.96124069813905,39.92233748057698,7.9139614884599645,38.366370893852626,23740.9294828329,9.930810541349816,72.80261614264738,1.6621182111906412,11766.804702977726,2016
Chile,10.621394275785713,39.25878317411361,8.308466258374358,36.664965837699434,22784.302137461043,10.335395931721589,71.77659438081587,1.624727350967258,11241.491842550673,2017
Chile,10.875999334242797,40.721862591883934,7.9858421377612485,35.537082458347065,21821.95006180392,10.021096776757258,72.37402112177428,1.555444828495928,11722.311707455685,2018
Chile,10.371577653532356,40.46344600331767,8.089512018541257,34.23705225660223,20740.00633336454,10.25056710842838,69.90362421318066,1.6057084908242956,11431.479765938187,2019
Chile,10.738874799468418,38.87893800238319,8.19771307505136,35.24749268779657,21247.47930534637,9.837969529765001,72.28096076645015,1.5445177826138696,11060.886172247376,2020
Chile,11.04560826820638,40.20758319931944,8.148274888282936,36.84783341761192,21286.57999198549,9.360762183262315,72.38013556422825,1.6011399952054375,11271.84303685133,2021
Chile,11.358320015617354,41.69216762348569,7.823449146877305,38.10737831796493,21817.056914487763,9.824377472136675,73.44976875340232,1.5340020347586312,11134.299143287231,2022
Chile,11.385198089832008,42.52638861343816,8.106529019730932,39.51141858699207,22284.54223345703,9.41542047434137,70.83106295708475,1.594371750244044,11679.272248684652,2023
China,15.438789961986352,26.87403506343896,5.268822087222672,23.706524631382134,9420.800230678105,7.065402012870806,76.95364331372262,1.512922259255585,4429.395598980575,2001
China,15.21816396112732,27.90005747191488,5.414504963387158,24.7064122822095,9518.624999292542,6.855533055601137,75.17351388028398,1.4441662166922156,4266.761909030206,2002
China,14.741533793776094,26.916278934032995,5.242688742545451,24.549440020318997,9183.77230023491,7.117322380471025,75.48721261311958,1.4630486016305302,4100.74775871852,2003
China,15.016674950167122,26.361881044533625,5.127952893167579,23.53260273476066,9606.483557392286,7.196361484318075,75.12369832945036,1.430467053570914,4213.051917417309,2004
China,14.905938295675831,25.42278572142875,4.984446300595422,24.204909117867235,9140.281069412285,6.998381663596956,73.2661421274078,1.4676238798645322,4347.594726017086,2005
China,15.581574727181442,24.501944445044042,5.15234895372382,24.635050590757672,9372.04525389465,6.773450460586992,70.70292991915437,1.5176063718125632,4521.449879564183,2006
China,14.998576595075603,24.266037568885274,4.978456370627313,25.723699119773812,9423.602973882616,6.574394539268875,71.39527568169717,1.578926016843204,4604.956643945741,2007
China,15.64421464603001,23.420705677604232,4.925390178983832,25.101210521516133,9141.308767961049,6.250256374578302,68.06774316334474,1.6344593436061206,4419.692286414598,2008
China,15.132613701842846,23.2992197186436,4.680838435074341,26.074677420355584,9346.180387992437,6.30491857466646,67.44404702151431,1.6787194976294202,4354.631701723626,2009
China,15.367463545922682,22.98701885981589,4.7917741246959515,25.28432922872593,9129.836024932305,6.403823896170319,65.60767378553165,1.685881502734319,4302.740465755166,2010
China,15.802004351910908,24.050861504026578,4.586084471258107,26.357364134835624,9098.928311292804,6.317194683380664,64.95035381326345,1.6101199681860798,4360.309509565668,2011
China,16.46735928939375,24.315662713862604,4.668187014189069,26.930405722828297,9088.572415539316,6.061621788028033,66.37196613698204,1.645802992864437,4223.073264955231,2012
China,16.21279408372738,24.483174170473436,4.7005361204372065,26.80900242647402,9402.641187979129,5.813103630612327,64.08960973495374,1.6528286357646982,4275.006061835598,2013
China,16.361185249999,23.407898649621803,4.584858688194118,27.55748654066687,9311.701779990399,6.04148365585805,62.908809439217606,1.6197488869715286,4453.852494411582,2014
